date,open,high,low,close,adj close,first_diff,pc_change,year,month,day,day_of_week
2000-06-19,1464.459961,1488.930054,1459.050049,1486.0,1486.0,21.54003899999998,1.470852025567937,2000,6,19,0
2000-06-20,1486.0,1487.319946,1470.180054,1475.949951,1475.949951,-10.050048999999944,-0.6763155450874803,2000,6,20,1
2000-06-21,1475.949951,1482.189941,1468.0,1479.130005,1479.130005,3.1800539999999273,0.21545811887764277,2000,6,21,2
2000-06-22,1479.130005,1479.130005,1448.030029,1452.180054,1452.180054,-26.949951000000056,-1.822013677560419,2000,6,22,3
2000-06-23,1452.180054,1459.939941,1438.310059,1441.47998,1441.47998,-10.700073999999859,-0.7368283272123688,2000,6,23,4
2000-06-26,1441.47998,1459.660034,1441.47998,1455.310059,1455.310059,13.830078999999841,0.9594360790220469,2000,6,26,0
2000-06-27,1455.310059,1463.349976,1450.550049,1450.550049,1450.550049,-4.760009999999966,-0.3270787534630726,2000,6,27,1
2000-06-28,1450.550049,1467.630005,1450.550049,1454.819946,1454.819946,4.269897000000128,0.2943639899184225,2000,6,28,2
2000-06-29,1454.819946,1455.140015,1434.630005,1442.390015,1442.390015,-12.429931000000124,-0.8543965206262105,2000,6,29,3
2000-06-30,1442.390015,1454.680054,1438.709961,1454.599976,1454.599976,12.209961000000021,0.8465089797505376,2000,6,30,4
2000-07-03,1454.599976,1469.579956,1450.849976,1469.540039,1469.540039,14.94006300000001,1.027090832290778,2000,7,3,0
2000-07-05,1469.540039,1469.540039,1442.449951,1446.22998,1446.22998,-23.31005899999991,-1.5862146237173635,2000,7,5,2
2000-07-06,1446.22998,1461.650024,1439.560059,1456.670044,1456.670044,10.440063999999893,0.7218813151695258,2000,7,6,3
2000-07-07,1456.670044,1484.119995,1456.670044,1478.900024,1478.900024,22.22998000000007,1.526082045248689,2000,7,7,4
2000-07-10,1478.900024,1486.560059,1474.76001,1475.619995,1475.619995,-3.280029000000013,-0.22178842022927414,2000,7,10,0
2000-07-11,1475.619995,1488.77002,1470.47998,1480.880005,1480.880005,5.260009999999966,0.3564610142057667,2000,7,11,1
2000-07-12,1480.880005,1497.689941,1480.880005,1492.920044,1492.920044,12.040038999999979,0.8130327210407629,2000,7,12,2
2000-07-13,1492.920044,1501.390015,1489.650024,1495.839966,1495.839966,2.9199220000000423,0.1955846203375078,2000,7,13,3
2000-07-14,1495.839966,1509.98999,1494.560059,1509.97998,1509.97998,14.140014000000065,0.9452892235398469,2000,7,14,4
2000-07-17,1509.97998,1517.319946,1505.26001,1510.48999,1510.48999,0.5100099999999657,0.033775944499603305,2000,7,17,0
2000-07-18,1510.48999,1510.48999,1491.349976,1493.73999,1493.73999,-16.75,-1.1089116850089176,2000,7,18,1
2000-07-19,1493.73999,1495.630005,1479.920044,1481.959961,1481.959961,-11.780029000000013,-0.7886264730717962,2000,7,19,2
2000-07-20,1481.959961,1501.920044,1481.959961,1495.569946,1495.569946,13.609985000000052,0.9183773757839075,2000,7,20,3
2000-07-21,1495.569946,1495.569946,1477.910034,1480.189941,1480.189941,-15.380004999999983,-1.0283708255260704,2000,7,21,4
2000-07-24,1480.189941,1485.880005,1463.800049,1464.290039,1464.290039,-15.899902000000111,-1.0741798440582762,2000,7,24,0
2000-07-25,1464.290039,1476.22998,1464.290039,1474.469971,1474.469971,10.179932000000008,0.6952128150070624,2000,7,25,1
2000-07-26,1474.469971,1474.469971,1452.420044,1452.420044,1452.420044,-22.049927000000025,-1.4954476817893747,2000,7,26,2
2000-07-27,1452.420044,1464.910034,1445.329956,1449.619995,1449.619995,-2.8000489999999445,-0.1927850701019307,2000,7,27,3
2000-07-28,1449.619995,1456.680054,1413.890015,1419.890015,1419.890015,-29.72998000000007,-2.050880927590959,2000,7,28,4
2000-07-31,1419.890015,1437.650024,1418.709961,1430.829956,1430.829956,10.93994100000009,0.7704780570627623,2000,7,31,0
2000-08-01,1430.829956,1443.540039,1428.959961,1438.099976,1438.099976,7.270019999999931,0.5080981125334949,2000,8,1,1
2000-08-02,1438.099976,1451.589966,1433.48999,1438.699951,1438.699951,0.5999750000000859,0.04171997844466535,2000,8,2,2
2000-08-03,1438.699951,1454.189941,1425.430054,1452.560059,1452.560059,13.860107999999855,0.9633772483530034,2000,8,3,3
2000-08-04,1452.560059,1462.930054,1451.310059,1462.930054,1462.930054,10.369995000000017,0.7139116166486881,2000,8,4,4
2000-08-07,1462.930054,1480.800049,1460.719971,1479.319946,1479.319946,16.389892000000145,1.12034693355203,2000,8,7,0
2000-08-08,1479.319946,1484.52002,1472.609985,1482.800049,1482.800049,3.480102999999872,0.2352501911036864,2000,8,8,1
2000-08-09,1482.800049,1490.329956,1471.160034,1472.869995,1472.869995,-9.930053999999927,-0.6696826053315008,2000,8,9,2
2000-08-10,1472.869995,1475.150024,1459.890015,1460.25,1460.25,-12.619995000000017,-0.8568302051668919,2000,8,10,3
2000-08-11,1460.25,1475.719971,1453.060059,1471.839966,1471.839966,11.589966000000004,0.793697380585523,2000,8,11,4
2000-08-14,1471.839966,1491.640015,1468.560059,1491.560059,1491.560059,19.720092999999906,1.3398258951748065,2000,8,14,0
2000-08-15,1491.560059,1493.119995,1482.73999,1484.430054,1484.430054,-7.130004999999983,-0.47802332577745466,2000,8,15,1
2000-08-16,1484.430054,1496.089966,1475.73999,1479.849976,1479.849976,-4.580077999999958,-0.3085411796708293,2000,8,16,2
2000-08-17,1479.849976,1499.319946,1479.849976,1496.069946,1496.069946,16.219970000000103,1.0960550233505728,2000,8,17,3
2000-08-18,1496.069946,1499.469971,1488.98999,1491.719971,1491.719971,-4.349975000000086,-0.29076013535533907,2000,8,18,4
2000-08-21,1491.719971,1502.839966,1491.130005,1499.47998,1499.47998,7.760009000000082,0.5202054776271448,2000,8,21,0
2000-08-22,1499.47998,1508.449951,1497.420044,1498.130005,1498.130005,-1.3499750000000859,-0.09002954477592695,2000,8,22,1
2000-08-23,1498.130005,1507.199951,1489.52002,1505.969971,1505.969971,7.839966000000004,0.5233167998661026,2000,8,23,2
2000-08-24,1505.969971,1511.160034,1501.25,1508.310059,1508.310059,2.3400879999999233,0.15538742770853098,2000,8,24,3
2000-08-25,1508.310059,1513.469971,1505.089966,1506.449951,1506.449951,-1.8601079999998547,-0.12332398029839542,2000,8,25,4
2000-08-28,1506.449951,1523.949951,1506.449951,1514.089966,1514.089966,7.6400149999999485,0.5071535894656476,2000,8,28,0
2000-08-29,1514.089966,1514.810059,1505.459961,1509.839966,1509.839966,-4.25,-0.2806966623804974,2000,8,29,1
2000-08-30,1509.839966,1510.48999,1500.089966,1502.589966,1502.589966,-7.25,-0.4801833414972645,2000,8,30,2
2000-08-31,1502.589966,1525.209961,1502.589966,1517.680054,1517.680054,15.090087999999923,1.0042718467081713,2000,8,31,3
2000-09-01,1517.680054,1530.089966,1515.530029,1520.77002,1520.77002,3.089966000000004,0.20359798442735055,2000,9,1,4
2000-09-05,1520.77002,1520.77002,1504.209961,1507.079956,1507.079956,-13.690063999999893,-0.900206067976006,2000,9,5,1
2000-09-06,1507.079956,1512.609985,1492.119995,1492.25,1492.25,-14.829956000000038,-0.9840191916134833,2000,9,6,2
2000-09-07,1492.25,1505.339966,1492.25,1502.51001,1502.51001,10.260009999999966,0.6875530239571104,2000,9,7,3
2000-09-08,1502.51001,1502.51001,1489.880005,1494.5,1494.5,-8.010009999999966,-0.5331085947307579,2000,9,8,4
2000-09-11,1494.5,1506.76001,1483.01001,1489.26001,1489.26001,-5.239990000000034,-0.3506182669789304,2000,9,11,0
2000-09-12,1489.26001,1496.930054,1479.670044,1481.98999,1481.98999,-7.270019999999931,-0.4881632455839502,2000,9,12,1
2000-09-13,1481.98999,1487.449951,1473.609985,1484.910034,1484.910034,2.9200439999999617,0.19703533894990244,2000,9,13,2
2000-09-14,1484.910034,1494.160034,1476.72998,1480.869995,1480.869995,-4.040038999999979,-0.2720729813588174,2000,9,14,3
2000-09-15,1480.869995,1480.959961,1460.219971,1465.810059,1465.810059,-15.059936000000107,-1.0169654359159397,2000,9,15,4
2000-09-18,1465.810059,1467.77002,1441.920044,1444.51001,1444.51001,-21.300048999999944,-1.4531247666925706,2000,9,18,0
2000-09-19,1444.51001,1461.160034,1444.51001,1459.900024,1459.900024,15.390014000000065,1.065414146905086,2000,9,19,1
2000-09-20,1459.900024,1460.48999,1430.949951,1451.339966,1451.339966,-8.560058000000026,-0.5863454934774359,2000,9,20,2
2000-09-21,1451.339966,1452.77002,1436.300049,1449.050049,1449.050049,-2.2899170000000595,-0.15777950402008356,2000,9,21,3
2000-09-22,1449.050049,1449.050049,1421.880005,1448.719971,1448.719971,-0.3300779999999577,-0.022778923352417824,2000,9,22,4
2000-09-25,1448.719971,1457.420044,1435.930054,1439.030029,1439.030029,-9.689941999999974,-0.6688623194247345,2000,9,25,0
2000-09-26,1439.030029,1448.040039,1425.25,1427.209961,1427.209961,-11.820067999999992,-0.8213913373450565,2000,9,26,1
2000-09-27,1427.209961,1437.219971,1419.439941,1426.569946,1426.569946,-0.6400149999999485,-0.04484378735357675,2000,9,27,2
2000-09-28,1426.569946,1461.689941,1425.780029,1458.290039,1458.290039,31.720092999999906,2.223521748018098,2000,9,28,3
2000-09-29,1458.290039,1458.290039,1436.290039,1436.51001,1436.51001,-21.780029000000013,-1.4935320421536558,2000,9,29,4
2000-10-02,1436.52002,1445.599976,1429.829956,1436.22998,1436.22998,-0.280029999999897,-0.019493772967160705,2000,10,2,0
2000-10-03,1436.22998,1454.819946,1425.280029,1426.459961,1426.459961,-9.770019000000048,-0.6802544951749367,2000,10,3,1
2000-10-04,1426.459961,1439.98999,1416.310059,1434.319946,1434.319946,7.8599850000000515,0.5510133627928848,2000,10,4,2
2000-10-05,1434.319946,1444.170044,1431.800049,1436.280029,1436.280029,1.9600829999999405,0.1366559117766064,2000,10,5,3
2000-10-06,1436.280029,1443.300049,1397.060059,1408.98999,1408.98999,-27.29003899999998,-1.9000500215129001,2000,10,6,4
2000-10-09,1408.98999,1409.689941,1392.47998,1402.030029,1402.030029,-6.959961000000021,-0.49396809412393106,2000,10,9,0
2000-10-10,1402.030029,1408.829956,1383.849976,1387.02002,1387.02002,-15.010009000000082,-1.0705911206984609,2000,10,10,1
2000-10-11,1387.02002,1387.02002,1349.670044,1364.589966,1364.589966,-22.430053999999927,-1.617139888146668,2000,10,11,2
2000-10-12,1364.589966,1374.930054,1328.060059,1329.780029,1329.780029,-34.80993699999999,-2.550944816195433,2000,10,12,3
2000-10-13,1329.780029,1374.170044,1327.079956,1374.170044,1374.170044,44.39001499999995,3.33814721472252,2000,10,13,4
2000-10-16,1374.170044,1379.47998,1365.060059,1374.619995,1374.619995,0.4499510000000555,0.032743473194218886,2000,10,16,0
2000-10-17,1374.619995,1380.98999,1342.339966,1349.969971,1349.969971,-24.65002400000003,-1.7932246067757784,2000,10,17,1
2000-10-18,1349.969971,1356.650024,1305.790039,1342.130005,1342.130005,-7.839966000000004,-0.5807511402785126,2000,10,18,2
2000-10-19,1342.130005,1389.930054,1342.130005,1388.76001,1388.76001,46.63000499999998,3.474328479825628,2000,10,19,3
2000-10-20,1388.76001,1408.469971,1382.189941,1396.930054,1396.930054,8.170043999999962,0.5882977577961856,2000,10,20,4
2000-10-23,1396.930054,1406.959961,1387.75,1395.780029,1395.780029,-1.1500249999999141,-0.08232516701225379,2000,10,23,0
2000-10-24,1395.780029,1415.640015,1388.130005,1398.130005,1398.130005,2.3499759999999696,0.16836291902553313,2000,10,24,1
2000-10-25,1398.130005,1398.130005,1362.209961,1364.900024,1364.900024,-33.22998099999995,-2.3767447148092646,2000,10,25,2
2000-10-26,1364.900024,1372.719971,1337.810059,1364.439941,1364.439941,-0.4600829999999405,-0.03370818315701074,2000,10,26,3
2000-10-27,1364.439941,1384.569946,1364.130005,1379.579956,1379.579956,15.140014999999948,1.1096138822280333,2000,10,27,4
2000-10-30,1379.579956,1406.359985,1376.859985,1398.660034,1398.660034,19.080077999999958,1.383035315714598,2000,10,30,0
2000-10-31,1398.660034,1432.219971,1398.660034,1429.400024,1429.400024,30.739990000000034,2.1978171430327764,2000,10,31,1
2000-11-01,1429.400024,1429.599976,1410.449951,1421.219971,1421.219971,-8.180053000000044,-0.5722717827518431,2000,11,1,2
2000-11-02,1421.219971,1433.400024,1421.219971,1428.319946,1428.319946,7.099975000000086,0.499569042433623,2000,11,2,3
2000-11-03,1428.319946,1433.209961,1420.920044,1426.689941,1426.689941,-1.6300049999999828,-0.11412043951110062,2000,11,3,4
2000-11-06,1428.76001,1438.459961,1427.719971,1432.189941,1432.189941,5.5,0.38550772960135316,2000,11,6,0
2000-11-07,1432.189941,1436.219971,1423.26001,1431.869995,1431.869995,-0.3199460000000727,-0.022339634628121274,2000,11,7,1
2000-11-08,1431.869995,1437.280029,1408.780029,1409.280029,1409.280029,-22.589966000000004,-1.5776548205411633,2000,11,8,2
