date,open,high,low,close,first_diff,pc_change,year,month,day_of_week,day
2000-11-17,3869.17,3917.59,3848.86,3905.84,3.9400000000000546,0.10097644737179223,2000,11,4,17
2000-11-20,3928.62,3942.55,3908.28,3926.52,20.679999999999836,0.5294635724965691,2000,11,0,20
2000-11-21,3889.18,3928.58,3882.65,3924.7,-1.8200000000001637,-0.04635147662561678,2000,11,1,21
2000-11-22,3938.46,3947.98,3861.01,3862.39,-62.309999999999945,-1.5876372716385978,2000,11,2,22
2000-11-23,3837.11,3871.34,3826.42,3852.4,-9.989999999999782,-0.2586481427302778,2000,11,3,23
2000-11-24,3860.52,3889.56,3856.58,3868.34,15.940000000000055,0.41376804070190065,2000,11,4,24
2000-11-27,3930.96,3972.48,3902.1,3969.2,100.85999999999967,2.6073199356829946,2000,11,0,27
2000-11-28,3962.21,4038.64,3962.2,4023.92,54.720000000000255,1.378615338103395,2000,11,1,28
2000-11-29,3997.33,4046.19,3957.19,3996.18,-27.740000000000236,-0.6893775224159571,2000,11,2,29
2000-11-30,4003.41,4019.52,3972.85,3997.99,1.8099999999999454,0.045293255058576065,2000,11,3,30
2000-12-01,3968.89,4054.86,3966.55,4031.96,33.970000000000255,0.849676962673751,2000,12,4,1
2000-12-04,4078.56,4088.28,4034.62,4036.49,4.529999999999745,0.11235230508237493,2000,12,0,4
2000-12-05,4061.9,4082.44,4048.85,4071.98,35.49000000000024,0.8792292313371419,2000,12,1,5
2000-12-06,4155.22,4156.66,4097.55,4108.43,36.45000000000027,0.8951419211292944,2000,12,2,6
2000-12-07,4099.49,4136.74,4095.99,4124.91,16.479999999999563,0.40112646436716304,2000,12,3,7
2000-12-08,4134.1,4167.32,4134.1,4156.08,31.170000000000073,0.7556528506076576,2000,12,4,8
2000-12-11,4198.72,4233.26,4178.51,4228.29,72.21000000000004,1.7374545244557282,2000,12,0,11
2000-12-12,4254.16,4255.69,4210.15,4219.48,-8.8100000000004,-0.2083584616949241,2000,12,1,12
2000-12-13,4235.56,4298.63,4235.56,4284.98,65.5,1.5523239830500524,2000,12,2,13
2000-12-14,4297.44,4332.65,4256.34,4270.45,-14.529999999999745,-0.339091430998506,2000,12,3,14
2000-12-15,4241.46,4264.83,4130.6,4137.16,-133.28999999999996,-3.121216733599508,2000,12,4,15
2000-12-18,4121.86,4186.77,4108.68,4169.39,32.23000000000047,0.7790368271954895,2000,12,0,18
2000-12-19,4188.02,4200.34,4143.56,4152.94,-16.450000000000728,-0.3945421272656402,2000,12,1,19
2000-12-20,4106.34,4121.82,4057.95,4086.41,-66.52999999999975,-1.601997620962492,2000,12,2,20
2000-12-21,4013.1,4064.71,3968.34,4034.23,-52.179999999999836,-1.2769154343298839,2000,12,3,21
2000-12-22,4057.72,4080.3,3895.37,3905.9,-128.32999999999993,-3.1810283498957648,2000,12,4,22
2000-12-26,3927.51,3939.08,3810.99,3826.82,-79.07999999999993,-2.0246294067948423,2000,12,1,26
2000-12-27,3830.37,3902.85,3803.69,3877.55,50.73000000000002,1.3256437459822967,2000,12,2,27
2000-12-28,3918.17,3940.45,3895.21,3932.78,55.23000000000002,1.4243530064086851,2000,12,3,28
2000-12-29,3933.95,3978.25,3904.32,3972.12,39.33999999999969,1.0003102131316721,2000,12,4,29
2001-01-01,3990.65,4021.83,3937.33,3955.08,-17.039999999999964,-0.4289900607232444,2001,1,0,1
