date,open,high,low,close,first_diff,pc_change,month,year
2016-02-22,20.915,21.8625,17.4075,21.02,0.10500000000000043,0.5020320344250484,2,2016
2016-02-23,21.02,24.64,21.02,23.8375,2.817499999999999,13.403901046622257,2,2016
2016-02-24,23.8375,24.815,22.1275,22.955,-0.8825000000000003,-3.7021499737808106,2,2016
2016-02-25,22.955,23.4875,22.1975,22.745,-0.2099999999999973,-0.9148333696362365,2,2016
2016-02-26,22.745,23.145,21.19,21.865,-0.8800000000000026,-3.8689821938887814,2,2016
2016-02-29,21.865,22.405,19.355,20.1575,-1.7074999999999996,-7.809284244225934,2,2016
2016-03-01,20.1575,20.1575,18.4025,18.6725,-1.4849999999999994,-7.366984993178716,3,2016
2016-03-02,18.6725,19.2,17.495,18.99,0.317499999999999,1.700361494175917,3,2016
2016-03-03,18.99,19.02,17.9075,18.04,-0.9499999999999993,-5.002632964718268,3,2016
2016-03-04,18.04,18.315,17.2,17.8825,-0.15749999999999886,-0.8730598669623002,3,2016
2016-03-08,17.8825,18.975,17.41,18.465,0.5824999999999996,3.2573745281699873,3,2016
2016-03-09,18.465,18.675,17.315,17.505,-0.9600000000000009,-5.1990251827782386,3,2016
2016-03-10,17.505,18.24,16.2675,17.895,0.39000000000000057,2.227934875749793,3,2016
2016-03-11,17.895,17.895,16.0325,17.0975,-0.7974999999999994,-4.4565521095278005,3,2016
2016-03-14,17.0975,17.4,15.585,17.1025,0.004999999999999005,0.029244041526532705,3,2016
2016-03-15,17.1025,17.84,15.23,17.5975,0.495000000000001,2.894313696827955,3,2016
2016-03-16,17.5975,17.88,14.5975,17.115,-0.4825000000000017,-2.7418667424350174,3,2016
2016-03-17,17.115,17.275,15.5575,16.84,-0.2749999999999986,-1.6067776803973088,3,2016
2016-03-18,16.84,16.8675,14.9,16.3825,-0.4574999999999996,-2.716745843230406,3,2016
2016-03-21,16.3825,17.11,14.8325,16.3325,-0.05000000000000071,-0.30520372348542546,3,2016
2016-03-22,16.3325,16.8625,13.695,16.43,0.09750000000000014,0.5969692331241339,3,2016
2016-03-23,16.43,16.87,13.9475,16.345,-0.08500000000000085,-0.517346317711509,3,2016
2016-03-28,16.345,18.57,15.1825,17.485,1.1400000000000006,6.974609972468659,3,2016
2016-03-29,17.485,18.04,16.805,17.6375,0.15249999999999986,0.8721761509865589,3,2016
2016-03-30,17.6375,17.6375,16.57,16.8075,-0.8299999999999983,-4.70588235294117,3,2016
2016-03-31,16.8075,16.885,15.4975,16.5825,-0.22500000000000142,-1.338688085676043,3,2016
2016-04-01,16.5825,17.895,16.2925,17.2775,0.6950000000000003,4.191165385195239,4,2016
2016-04-04,17.2775,18.1675,16.23,17.45,0.17249999999999943,0.998408334539147,4,2016
2016-04-05,17.45,18.0625,16.885,17.83,0.379999999999999,2.177650429799427,4,2016
2016-04-06,17.83,17.9225,16.125,17.345,-0.48499999999999943,-2.7201346045989894,4,2016
2016-04-07,17.345,17.4225,16.335,16.935,-0.41000000000000014,-2.363793600461228,4,2016
2016-04-08,16.935,16.935,15.1975,16.4325,-0.5024999999999977,-2.9672276350752758,4,2016
2016-04-11,16.4325,16.79,14.88,16.0125,-0.4200000000000017,-2.5559105431310014,4,2016
2016-04-12,16.0125,16.3025,14.6525,16.025,0.01249999999999929,0.07806401249024209,4,2016
2016-04-13,16.025,16.12,13.55,16.035,0.010000000000001563,0.06240249609985593,4,2016
2016-04-18,16.035,17.4175,14.14,16.9475,0.9125000000000014,5.690676644839421,4,2016
2016-04-20,16.9475,17.52,15.4325,17.075,0.12749999999999773,0.7523233515267513,4,2016
2016-04-21,17.075,17.075,15.6375,16.5125,-0.5625,-3.2942898975109824,4,2016
2016-04-22,16.5125,16.8575,15.335,16.38,-0.13250000000000028,-0.8024224072672226,4,2016
2016-04-25,16.38,17.03,16.1275,16.5725,0.19250000000000256,1.1752136752136932,4,2016
2016-04-26,16.5725,16.8175,15.6425,16.58,0.0074999999999967315,0.045255694674883884,4,2016
2016-04-27,16.58,16.79,16.2275,16.3525,-0.22749999999999915,-1.3721351025331674,4,2016
2016-04-28,16.3525,16.77,15.3075,16.5975,0.245000000000001,1.4982418590429702,4,2016
2016-04-29,16.5975,17.24,15.63,16.5375,-0.05999999999999872,-0.36150022593763875,4,2016
2016-05-02,16.5375,17.655,16.5375,17.0925,0.5549999999999997,3.3560090702947853,5,2016
2016-05-03,17.0925,18.0825,15.605,17.4625,0.36999999999999744,2.1646921164253152,5,2016
2016-05-04,17.4625,17.7825,16.2675,17.445,-0.017499999999998295,-0.10021474588403079,5,2016
2016-05-05,17.445,17.48,15.7275,17.17,-0.2749999999999986,-1.57638291774147,5,2016
2016-05-06,17.17,17.5025,16.055,16.9475,-0.22250000000000014,-1.2958648806057127,5,2016
2016-05-09,16.9475,16.9475,15.2175,16.6125,-0.33500000000000085,-1.9766927275409407,5,2016
2016-05-10,16.6125,17.185,15.0225,16.415,-0.19750000000000156,-1.1888638073739743,5,2016
2016-05-11,16.415,17.4625,15.5375,16.9625,0.5474999999999994,3.335363996344798,5,2016
2016-05-12,16.9625,17.1675,15.96,16.3275,-0.634999999999998,-3.743551952837132,5,2016
2016-05-13,16.3275,17.3675,14.195,16.9975,0.6699999999999982,4.103506354310205,5,2016
2016-05-16,16.9975,17.77,16.1675,17.0325,0.03500000000000014,0.2059126342109252,5,2016
2016-05-17,17.0325,17.0325,15.735,16.3725,-0.6600000000000001,-3.874944958168214,5,2016
2016-05-18,16.3725,16.97,15.99,16.455,0.08249999999999957,0.5038937242326957,5,2016
2016-05-19,16.455,17.4175,15.4175,17.0625,0.6075000000000017,3.6918869644485097,5,2016
2016-05-20,17.0625,17.0625,14.9825,16.425,-0.6374999999999993,-3.736263736263734,5,2016
2016-05-23,16.425,16.5525,15.1825,16.16,-0.26500000000000057,-1.6133942161339454,5,2016
2016-05-24,16.16,16.8875,15.6875,16.22,0.05999999999999872,0.3712871287128605,5,2016
2016-05-25,16.22,16.22,14.5475,15.52,-0.6999999999999993,-4.315659679408135,5,2016
2016-05-26,15.52,15.52,14.4675,15.325,-0.19500000000000028,-1.2564432989690788,5,2016
2016-05-27,15.325,15.8575,14.9375,15.26,-0.0649999999999995,-0.4241435562805873,5,2016
2016-05-30,15.26,16.4425,14.77,15.975,0.7149999999999999,4.68545216251639,5,2016
2016-05-31,15.975,16.3625,14.3025,16.045,0.07000000000000206,0.4381846635367781,5,2016
2016-06-01,16.045,16.0975,14.72,15.835,-0.21000000000000085,-1.3088189467123756,6,2016
2016-06-02,15.835,15.9375,14.96,15.0875,-0.7475000000000005,-4.720555730975695,6,2016
2016-06-03,15.0875,15.3925,14.0475,14.995,-0.09250000000000114,-0.613090306545161,6,2016
2016-06-06,14.995,15.535,14.1175,15.355,0.3600000000000012,2.4008002667555983,6,2016
2016-06-07,15.355,15.355,14.4025,14.87,-0.4850000000000012,-3.1585802670140106,6,2016
2016-06-08,14.87,15.2875,13.315,15.1425,0.27250000000000085,1.8325487558843445,6,2016
2016-06-09,15.1425,15.8325,13.975,15.6725,0.5299999999999994,3.500082549116712,6,2016
2016-06-10,15.6725,16.27,14.5525,15.97,0.2975000000000012,1.898229382676675,6,2016
2016-06-13,15.97,17.0775,15.6575,16.5825,0.6124999999999989,3.83531621790858,6,2016
2016-06-14,16.5825,17.5375,14.91,17.19,0.6075000000000017,3.663500678426068,6,2016
2016-06-15,17.19,17.63,15.42,17.055,-0.13500000000000156,-0.7853403141361293,6,2016
2016-06-16,17.055,18.4625,15.775,17.6975,0.6425000000000018,3.767223688068033,6,2016
2016-06-17,17.6975,17.8975,16.04,17.35,-0.34750000000000014,-1.9635541743184048,6,2016
2016-06-20,17.35,18.45,16.29,17.5175,0.16749999999999687,0.9654178674351366,6,2016
2016-06-21,17.5175,17.705,16.39,17.26,-0.25749999999999673,-1.469958612815736,6,2016
2016-06-22,17.26,18.3125,16.22,18.185,0.9249999999999972,5.3592120509849295,6,2016
2016-06-23,18.185,18.8275,16.9925,18.02,-0.16499999999999915,-0.9073412152873161,6,2016
2016-06-24,18.02,21.05,16.1525,18.6275,0.6075000000000017,3.371254162042181,6,2016
2016-06-27,18.6275,19.73,18.3825,18.53,-0.09750000000000014,-0.5234196752113784,6,2016
2016-06-28,18.53,18.81,17.445,17.725,-0.8049999999999997,-4.3443065299514245,6,2016
2016-06-29,17.725,17.725,15.905,16.155,-1.5700000000000003,-8.857545839210157,6,2016
2016-06-30,16.155,16.41,14.655,16.29,0.134999999999998,0.8356545961002659,6,2016
2016-07-01,16.29,16.3575,15.6525,15.7375,-0.5524999999999984,-3.391651319828104,7,2016
2016-07-04,15.7375,15.965,15.15,15.5775,-0.16000000000000014,-1.0166799046862574,7,2016
2016-07-05,15.5775,15.7,14.8325,15.3625,-0.21499999999999986,-1.3801957952174648,7,2016
2016-07-07,15.3625,15.58,14.285,15.3075,-0.05500000000000149,-0.358014646053717,7,2016
2016-07-08,15.3075,15.805,13.9125,15.0825,-0.22499999999999964,-1.4698677119059256,7,2016
2016-07-11,15.0825,15.0825,13.7575,14.8475,-0.23499999999999943,-1.558097132438252,7,2016
2016-07-12,14.8475,15.03,13.815,14.7825,-0.0649999999999995,-0.43778413874389077,7,2016
2016-07-13,14.7825,15.405,13.865,15.325,0.5424999999999986,3.6698799255876713,7,2016
2016-07-14,15.325,15.9225,14.16,15.61,0.28500000000000014,1.859706362153335,7,2016
2016-07-15,15.61,16.3225,13.92,15.6375,0.027499999999999858,0.1761691223574724,7,2016
2016-07-18,15.6375,16.2025,14.1075,15.9875,0.3500000000000014,2.2382094324540525,7,2016
2016-07-19,15.9875,16.23,13.92,15.795,-0.19250000000000078,-1.204065676309618,7,2016
2016-07-20,15.795,16.2125,14.1375,15.99,0.19500000000000028,1.2345679012345734,7,2016
2016-07-21,15.99,16.1125,14.0275,15.7125,-0.27749999999999986,-1.7354596622889296,7,2016
2016-07-22,15.7125,15.955,14.4425,15.4975,-0.21499999999999986,-1.3683373110580765,7,2016
2016-07-25,15.4975,16.1125,13.5225,15.7175,0.21999999999999886,1.4195838038393305,7,2016
2016-07-26,15.7175,16.1475,13.945,15.62,-0.09750000000000014,-0.6203276602513186,7,2016
2016-07-27,15.62,15.67,14.47,15.4275,-0.192499999999999,-1.232394366197176,7,2016
2016-07-28,15.4275,15.535,12.5925,15.1475,-0.27999999999999936,-1.814940852374003,7,2016
2016-07-29,15.1475,15.23,14.1525,14.9175,-0.23000000000000043,-1.5184023766298127,7,2016
2016-08-01,14.9175,15.4775,14.36,15.18,0.2624999999999993,1.7596782302664593,8,2016
2016-08-02,15.18,15.7925,13.955,15.6925,0.5125000000000011,3.3761528326745838,8,2016
2016-08-03,15.6925,16.445,14.295,16.2375,0.5449999999999999,3.4729966544527535,8,2016
2016-08-04,16.2375,16.2375,14.1025,15.14,-1.0975000000000001,-6.7590454195535,8,2016
2016-08-05,15.14,15.14,13.6175,14.3525,-0.7875000000000014,-5.201453104359322,8,2016
2016-08-08,14.3525,14.8225,13.1125,14.5875,0.2350000000000012,1.6373454102072804,8,2016
2016-08-09,14.5875,14.96,12.35,14.5375,-0.05000000000000071,-0.3427592116538203,8,2016
2016-08-10,14.5375,15.25,12.7125,14.9225,0.3849999999999998,2.648323301805666,8,2016
2016-08-11,14.9225,14.9225,13.1725,14.2125,-0.7099999999999991,-4.757915898810516,8,2016
2016-08-12,14.2125,14.2125,12.3725,13.77,-0.4425000000000008,-3.113456464379949,8,2016
2016-08-16,13.77,14.6375,13.14,14.1825,0.41249999999999964,2.9956427015250586,8,2016
2016-08-17,14.1825,14.905,12.7125,14.78,0.5975000000000001,4.212938480521777,8,2016
2016-08-18,14.78,14.78,12.91,14.55,-0.22999999999999865,-1.556156968876854,8,2016
2016-08-19,14.55,14.905,12.105,14.5375,-0.012500000000001066,-0.085910652920973,8,2016
2016-08-22,14.5375,15.005,13.27,14.235,-0.3025000000000002,-2.080825451418744,8,2016
2016-08-23,14.235,14.62,13.06,13.8975,-0.3374999999999986,-2.3709167544783916,8,2016
2016-08-24,13.8975,14.035,12.39,13.4875,-0.41000000000000014,-2.9501708940456894,8,2016
2016-08-25,13.4875,13.6125,10.9275,13.285,-0.20250000000000057,-1.5013901760889792,8,2016
2016-08-26,13.285,14.205,12.35,13.57,0.28500000000000014,2.145276627775683,8,2016
2016-08-29,13.57,14.005,12.9375,13.165,-0.40500000000000114,-2.9845246868091424,8,2016
2016-08-30,13.165,13.165,12.2925,13.02,-0.14499999999999957,-1.1014052411697617,8,2016
2016-08-31,13.02,13.5425,12.245,13.2425,0.22250000000000014,1.708909370199696,8,2016
2016-09-01,13.2425,13.68,12.5375,13.34,0.09750000000000014,0.7362658108363229,9,2016
2016-09-02,13.34,13.445,12.6375,12.94,-0.40000000000000036,-2.998500749625188,9,2016
2016-09-06,12.94,13.18,12.3525,12.75,-0.1899999999999995,-1.4683153013910322,9,2016
2016-09-07,12.75,13.355,11.9475,13.145,0.3949999999999996,3.098039215686277,9,2016
2016-09-08,13.145,13.2325,12.045,13.115,-0.02999999999999936,-0.22822365918599985,9,2016
2016-09-09,13.115,13.4525,12.635,13.23,0.11500000000000021,0.8768585589020272,9,2016
2016-09-12,13.23,15.34,12.7,15.24,2.01,15.192743764172324,9,2016
2016-09-14,15.24,15.52,14.2,14.7625,-0.4775000000000009,-3.133202099737542,9,2016
